adult,backdrop_path,domestic_gross,domestic_openening,duration_minutes,genre_ids,id,imdb_id,international_gross,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,worldwide_gross
False,/2XSeKDmIa2KxaiJy4J9e8FrIZhk.jpg,251683815.0,56397125.0,95.0,"[16, 10751, 35]",912649,tt1323594,292490717.0,en,Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",105.4,/9lOloREsAhBu0pEtU0BgeR1rHyo.jpg,2010-07-08 00:00:00,Despicable Me,False,7.245,15022,544174973.0
False,/9Y9wTgrMk4G1YNPDDekNk7dybwx.jpg,,,99.0,"[28, 12, 10752]",912649,tt21158192,,en,3 Days in Malay,"Marines stationed at an airfield in Malay during WWII get wind of a coming raid by the Japanese. Unable to get reinforcements approved, they engage in a harrowing 3-day battle against enemy forces.",126.215,/hqnfqeCILvgKGWKOut5lVdxdeJh.jpg,,3 Days in Malay,False,5.2,27,
False,/5P6hWD4zxAMntRuRnB4MmPLijNw.jpg,255982860.0,34119372.0,129.0,[18],912649,tt0878804,53248834.0,en,The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",89.347,/bMgq7VBriuBFknXEe9E9pVBYGZq.jpg,2009-11-20 00:00:00,The Blind Side,False,7.677,6321,309231694.0
False,/yF1eOkaYvwiORauRCPWznV9xVvi.jpg,108133313.0,55043679.0,144.0,"[12, 28, 878]",912649,tt0439572,163300000.0,en,The Flash,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",101.341,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,2023-06-14 00:00:00,The Flash,False,6.7,4229,271433313.0
False,/37y53Jt8K6MvN6s4zJVFa61luO2.jpg,,,119.0,"[10749, 18]",912649,tt15340724,,ko,20세기 소녀,"In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own.",113.028,/od22ftNnyag0TTxcnJhlsu3aLoU.jpg,,20th Century Girl,False,8.143,687,
False,/tZvP8DNNSyC9Cir4viXXn3S7uhn.jpg,89760956.0,27018486.0,126.0,"[878, 28, 53, 12]",912649,tt1340138,350842581.0,en,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",85.026,/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,2015-06-25 00:00:00,Terminator Genisys,False,5.936,8353,440603537.0
False,/qjGrUmKW78MCFG8PTLDBp67S27p.jpg,49505008.0,21234994.0,117.0,"[16, 28, 14, 53]",912649,tt11032374,423725400.0,ja,劇場版「鬼滅の刃」無限列車編,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",98.719,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,2020-10-16 00:00:00,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,False,8.214,3934,473230408.0
False,/d9Np3GLfXchtPHfiBjIK6ps4BoE.jpg,20092802.0,8353710.0,119.0,[27],912649,tt5672290,33753078.0,en,The First Omen,"When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate.",125.037,/cIzk6GhxEZuweekGFXWEoAyuaMX.jpg,2024-04-03 00:00:00,The First Omen,False,6.9,912,53845880.0
False,/9ifX42tfIXLCXx7Kf52Nf6e38hb.jpg,,,94.0,[27],912649,tt28658134,,es,No Voltees,"When two siblings return to their childhood home, they are confronted by a violent, supernatural presence that dwells deep within their worst traumas.",125.474,/g3ZeqO6cNvr6cbfUn2FYZ7wAZ6f.jpg,,No Voltees,False,8.7,6,
False,/6YwkGolwdOMNpbTOmLjoehlVWs5.jpg,459005868.0,191271109.0,141.0,"[28, 12, 878]",912649,tt2395427,946012180.0,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",103.934,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,2015-04-22 00:00:00,Avengers: Age of Ultron,False,7.3,22905,1405018048.0
False,/Ahn9zBmRImn0uJ17IuQugjywQZB.jpg,,,100.0,"[12, 10751]",912649,tt16740144,21500583.0,fr,Le Dernier Jaguar,"Grown up in the Amazon rainforest, Autumn lives with Hope, the cute baby jaguar she adopted. However, a circumstance forces Autumn to return to New York. Autumn goes back into the jungle to save Hope from grave danger.",112.735,/ocHu00nOZzK0m9BsFdrFg3SglS0.jpg,2024-02-01 00:00:00,Autumn and the Black Jaguar,False,6.5,100,21500583.0
False,/vgatT6hiEf4EquZ1k0uU1Ft5XdI.jpg,,,100.0,"[53, 28, 878]",912649,tt11866324,,en,Prey,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",112.916,/h58U7d1OZyuWaCWMYvw4mfnv6H3.jpg,,Prey,False,7.713,6640,
False,/2qluV8y79LnBBHaMpwewCjQ1Htk.jpg,74262031.0,36160621.0,122.0,"[878, 27, 53]",912649,tt2316204,166629732.0,en,Alien: Covenant,"The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise but is actually a dark, dangerous world.",79.898,/zecMELPbU5YMQpC81Z8ImaaXuf9.jpg,2017-05-09 00:00:00,Alien: Covenant,False,6.146,8593,240892187.0
False,/oSJV6nAfHzyE9v6oEAXmDjbko00.jpg,,,90.0,"[14, 12]",912649,tt19638448,4836.0,zh,地底怪物,"Near a remote town, the repeated dumping of toxic waste causes an underground cave dweller to mutate into a hideous monster. A construction team that is digging a tunnel accidentally disturb the creature's habitat causing it to attack.",115.874,/lWVwWRLqpS1OaNg7KT0ZecSW0PK.jpg,2023-04-27 00:00:00,Underground Monster,False,5.333,15,4836.0
False,/acvE3RWjDLgvbL2RtcyzkrsAyNV.jpg,68026901.0,23253655.0,206.0,"[80, 36, 18]",912649,tt5537002,90737111.0,en,Killers of the Flower Moon,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one—until the FBI steps in to unravel the mystery.",96.679,/dB6Krk806zeqd0YNp2ngQ9zXteH.jpg,2023-10-18 00:00:00,Killers of the Flower Moon,False,7.452,3261,158764012.0
False,/sbuvH7mL7qDZozBCRUrPaP1WbqS.jpg,55007.0,26920.0,100.0,"[27, 53]",912649,tt1780798,4326596.0,en,Clown,"A loving father finds a clown suit for his son's birthday party, only to realize the suit is part of an evil curse that turns its wearer into a killer.",124.867,/gp5QyaU49utfWVVL698BzlN2vMh.jpg,2014-11-13 00:00:00,Clown,False,5.8,1355,4381603.0
False,/mnsU8VWOHxBJtgNV4CMZO3q4ngp.jpg,,,,"[16, 35]",912649,tt32268303,,en,May the 12th Be with You,"It's Mother's Day and Marge Simpson joins the moms of Disney+ on a special holiday outing that turns into an epic galactic adventure filled with heroes, villains, and Stewie from Family Guy.",101.579,/sHJ2OIgpcpSmhqXkuSWxZ3nwg1S.jpg,,May the 12th Be with You,False,5.5,46,
False,/hlxduUs8y9icWGMzYCDLcYHEQ2u.jpg,7240521.0,2512145.0,107.0,"[53, 28]",912649,tt15325794,10122740.0,en,Fall,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",97.599,/v28T5F1IygM8vXWZIycfNEm3xcL.jpg,2022-08-11 00:00:00,Fall,False,7.171,3882,17363261.0
False,/6bGmHzPEq2n6g17moqWwDpJBEom.jpg,15671307.0,5338921.0,89.0,"[27, 9648, 53]",912649,tt23137390,12783271.0,en,Immaculate,"An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",93.375,/fdZpvODTX5wwkD0ikZNaClE4AoW.jpg,2024-03-20 00:00:00,Immaculate,False,6.268,1215,28454578.0
False,/zqkmTXzjkAgXmEWLRsY4UpTWCeo.jpg,460998507.0,1554475.0,121.0,"[12, 28, 878]",912649,tt0076759,314400000.0,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,97.291,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,1977-05-25 00:00:00,Star Wars,False,8.2,20551,775398507.0
False,/nRsr98MFztBGm532hCVMGXV6qOp.jpg,24668669.0,,102.0,"[12, 14, 10751]",912649,tt0032138,969000.0,en,The Wizard of Oz,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",116.534,/pfAZFD7I2hxW9HCChTuAzsdE6UX.jpg,1939-08-25 00:00:00,The Wizard of Oz,False,7.586,5506,25637669.0
False,/viKEEaaCaZ0hZ2nGuvIEozlLooL.jpg,15097632.0,6705038.0,103.0,"[27, 9648, 53]",912649,tt22048412,6959184.0,en,MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",102.161,/ArvoFK6nlouZRxYmtIOUzKIrg90.jpg,2024-07-04 00:00:00,MaXXXine,False,6.41,776,22056816.0
False,/qi6Edc1OPcyENecGtz8TF0DUr9e.jpg,65631050.0,24104332.0,112.0,"[27, 9648, 53]",912649,tt7069210,140800000.0,en,The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",108.274,/xbSuFiJbbBWCkyCCKIMfuDCA4yV.jpg,2021-05-26 00:00:00,The Conjuring: The Devil Made Me Do It,False,7.429,5890,206431050.0
False,/y2DB71C4nyIdMrANijz8mzvQtk6.jpg,448149584.0,160887295.0,164.0,"[28, 80, 18, 53]",912649,tt1345836,666805703.0,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",92.763,/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,2012-07-19 00:00:00,The Dark Knight Rises,False,7.781,22645,1114975066.0
False,/xKJTWGvheOMMlTHgrjN18KaD9Ra.jpg,,,77.0,"[27, 53]",912649,tt22398528,1016707.0,en,Alice in Terrorland,"A recently bereaved teenage girl goes to live with her aunt in a secluded woodland house, unaware that sinister forces lurk within.",121.548,/5XJGvr8g9jkmN6KUIOQOj2iE6K4.jpg,2023-12-28 00:00:00,Alice in Terrorland,False,6.0,164,1016707.0
False,/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,700426566.0,202003951.0,134.0,"[28, 12, 878]",912649,tt1825683,649499517.0,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",100.981,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018-02-13 00:00:00,Black Panther,False,7.4,22102,1349926083.0
