adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],1217134,tl,Sana Ol Pulubi,I WISH EVERYONE HAS THIS KINDNESS TO GIVE TO THE NEEDY,108.053,/q43Lhuz3SL6xtlh9hcC9eGaMthZ.jpg,2023-11-01,Sana Ol Pulubi,False,0.0,0
False,/7cjrEMDo2xDT95fvCNb0CssokxZ.jpg,"[16, 35]",1358947,en,The Most Wonderful Time of the Year,"Sideshow Bob teams up with the most infamous villains of Disney+ to share the true meaning of the Halloween season. Filled with music, mayhem, and madness, this short from ""The Simpsons"" is simply to die for.",97.574,/3ivqP56Jd8RkbDidoe1rGFVGpJZ.jpg,2024-10-11,The Most Wonderful Time of the Year,False,5.4,19
False,/3TNSoa0UHGEzEz5ndXGjJVKo8RJ.jpg,"[878, 28]",614933,en,Atlas,A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.,108.839,/bcM2Tl5HlsvPBnL8DKP9Ie6vU4r.jpg,2024-05-23,Atlas,False,6.813,1215
False,/g4j7H4yDoCR90X1VV2IEvAZ1LAP.jpg,"[18, 10749]",707610,ko,가슴 큰 울 엄마,"Da-hee gets married to Min-soo who is older than her. Thanks to him, he also gets a son who is not too old, Jae-hyuk, who she tries to get acquainted with, albeit awkwardly. After staying with Na-yeon, she suddenly has to meet Jae-hyuk, and Na-yeon has a date with Jae-hyuk. Min-soo is surprised to find three people coming back home from a date. It made him angry to see his son with two women. Right away, Min-soo seeks Da-hee and asks about Na-yeon. Na-yeon met Min-soo secretly. However, Da-hee who is aware of Min-soo and Da-hee's relationship, shares this fact to Jae-hyun.",84.063,/zarhMAQRWKjjsNBR1rviIXZ5xtt.jpg,2020-05-06,Bosomy Mom,False,5.9,11
False,/xPTefQ4CZpWapxiEsAZsxtidS49.jpg,"[10751, 878]",682075,en,The Adventure of A.R.I.: My Robot Friend,A teenager summons the courage to help a friendly robot known as A.R.I. kidnapped by a ruthless lab director working for a powerful corporation seeking to turn him into a dangerous weapon in order to rule the world.,117.368,/txcjXiyhBvsSFyZtgCHWW7CyIeN.jpg,2022-01-13,The Adventure of A.R.I.: My Robot Friend,False,6.9,14
False,/hAQnXxOwCjgYcKRgTdYPRC8neqL.jpg,"[28, 18]",811941,te,దేవర: Part 1,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",104.642,/xpp2Q64Ynk6YvwKsK8z7Dg6AzxJ.jpg,2024-09-26,Devara: Part 1,False,6.2,12
False,/ujkVmpItWDLSkDCc7flsPywJhle.jpg,[27],1128941,en,The Demon Disorder,"The pasts of three brothers and their deceased father collide when a deep, dark family secret is unearthed, leading to a case of revenge from beyond the grave.",120.32,/Oqlmo1bhDQWWBPrMxMauuHL7y7.jpg,2024-08-16,The Demon Disorder,False,5.6,23
False,/aWGDOmoPbHbePdneJ7RApbjMsFx.jpg,[27],1089123,en,Daddy's Head,A boy and his stepmother fear for their safety after an eerie creature resembling the boy's recently deceased father visits them.,120.284,/nEWbEBs8BalwasA4Un8rll3kauT.jpg,2024-10-10,Daddy's Head,False,5.8,43
False,/fsPjwLROBhgIhOiEvXAfIOvlxW1.jpg,"[27, 18]",1054561,pt,Abraço de Mãe,A survival horror set in 1996 during one of the biggest tropical storms ever to hit Rio de Janeiro. Ana and her firefighter team must evacuate a nursing home at risk of its collapsing – but they soon find the mysterious residents in the house have other plans.,114.121,/zH3n5p2keYtdBWIqwKhVVLITneE.jpg,2024-10-03,A Mother's Embrace,False,6.158,19
False,/cTiSLpimOWmPJIvuBuTVb5fPisq.jpg,"[80, 53]",413846,en,1992,"In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide.",88.449,/tPvFmQZM5HMspryyYbrtW02NR0G.jpg,2024-08-29,1992,False,5.8,21
