,id,overview,popularity,release_date,title,vote_average,vote_count,budget,genres,imdb_id,production_companies,production_countries,runtime,tagline,spoken_languages,domestic_opening,domestic_gross,asia_pacific_opening,asia_pacific_gross,europe_middle_east_and_africa_opening,europe_middle_east_and_africa_gross,latin_america_opening,latin_america_gross,domestic,international,worldwide
371,257088,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".",102.845,2015-12-03,Point Break,5.959,2277,105000000,"Action, Adventure, Crime, Thriller",tt2058673,"Studio Babelsberg, Alcon Entertainment, DMG Entertainment, Taylor-Baldecchi-Wimmer, Warner Bros. Pictures, Summit Entertainment, Cine Tirol, Eagle Pictures","Austria, Canada, China, Germany, Italy, United States of America",114,The only law that matters is gravity.,English,9800252.0,28782481.0,7309734.0,25019303.0,8006709.0,24239022.0,3178468.0,15054069.0,28782481.0,105000000.0,133782481.0
372,6479,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",60.732,2007-12-12,I Am Legend,7.207,15640,150000000,"Drama, Science Fiction, Thriller",tt0480249,"Warner Bros. Pictures, Village Roadshow Pictures, Weed Road Pictures, Overbrook Entertainment, Heyday Films, Original Film",United States of America,101,The last man on Earth is not alone,English,77211321.0,256393010.0,30080649.0,109905507.0,68004215.0,186857362.0,7991660.0,32254173.0,256393010.0,329017042.0,585410052.0
373,1096342,"Abby and Travis wake after a crazy night in Vegas as accidental newlyweds! With the mob on their heels, they flee to Mexico for a wild, weird honeymoon—but are they in for another disaster?",63.288,2024-01-24,Beautiful Wedding,5.5,209,0,"Romance, Comedy, Drama",tt26546123,"Voltage Pictures, Wattpad",United States of America,95,Disaster strikes... again.,English,,,257949.0,548497.0,517167.0,1273716.0,9723.0,15974.0,0.0,1838187.0,1838187.0
374,158015,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",102.381,2013-05-31,The Purge,6.259,8342,3000000,"Science Fiction, Horror, Thriller",tt2184339,"Universal Pictures, Why Not Productions, Platinum Dunes, Blumhouse Productions","France, United States of America",86,"One night a year, all crime is legal.",English,34058360.0,64473115.0,1544135.0,3071780.0,6000714.0,17924645.0,1113344.0,2862449.0,64473115.0,24855512.0,89328627.0
375,1771,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",101.944,2011-07-22,Captain America: The First Avenger,7.001,21341,140000000,"Action, Adventure, Science Fiction",tt0458339,"Marvel Studios, Marvel Entertainment",United States of America,124,When patriots become heroes,"Français, Norsk, English",65058524.0,176654505.0,23593915.0,52666250.0,21318839.0,63958953.0,20507265.0,54262747.0,176654505.0,193915269.0,370569774.0
376,520763,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",101.896,2021-05-21,A Quiet Place Part II,7.5,6499,61000000,"Science Fiction, Thriller, Horror",tt8332922,"Paramount Pictures, Platinum Dunes, Sunday Night Productions",United States of America,96,Silence is not enough.,English,47547231.0,160072261.0,12852712.0,37985843.0,9575711.0,39952735.0,3529576.0,11274585.0,160072261.0,137300000.0,297372261.0
377,294254,"Thomas and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD’s vastly superior forces and uncover its shocking plans for them all.",52.64,2015-09-09,Maze Runner: The Scorch Trials,6.731,10314,61000000,"Science Fiction, Action, Thriller, Adventure",tt4046784,"Temple Hill Entertainment, The Gotham Group, TSG Entertainment, 20th Century Fox",United States of America,131,The Maze Was Just the Beginning.,English,30316510.0,81697192.0,15886187.0,71432945.0,27028767.0,94808010.0,10065537.0,33624098.0,81697192.0,230598864.0,312296056.0
378,1029330,"Shocking news hits after young architect Dawson loses his best friend London. In his heartbreak, Dawson is compelled to launch an impossible search for London’s secret sister, twins separated as embryos. But along the way, Dawson never planned to fall in love.",62.027,2024-04-02,Someone Like You,6.8,27,0,"Romance, Drama",tt22334258,Karen Kingsbury Productions,United States of America,118,Her whole life was built on a lie... but it was a lie that led her to him.,English,2979692.0,5937306.0,,,,,,,5937306.0,0.0,5937306.0
379,626412,"Ean has a critical mission to return to the future to save everyone. However, she becomes trapped in the distant past while trying to prevent the escape of alien prisoners who are locked up in the bodies of humans. Meanwhile, Muruk, who helps Ean escape various predicaments, is unnerved when he begins sensing the presence of a strange being in his body. Traveling through the centuries, they are trying to prevent the explosion of the haava.",59.433,2024-01-10,Alienoid: Return to the Future,6.6,622,0,"Science Fiction, Action, Fantasy, Adventure",tt20201212,Caper Film,South Korea,122,"At long last, all secrets shall be unveiled","English, 한국어/조선말",27972.0,60720.0,3644212.0,10633138.0,82737.0,130350.0,,,60720.0,10763488.0,10824208.0
380,2123,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",53.366,2000-06-22,"Me, Myself & Irene",6.596,3827,51000000,Comedy,tt0183505,"Conundrum Entertainment, 20th Century Fox",United States of America,116,From gentle to mental.,"English, Deutsch",24209385.0,90570999.0,,,,,,,90570999.0,58700000.0,149270999.0
381,102899,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",72.156,2015-07-14,Ant-Man,7.076,19658,130000000,"Science Fiction, Action, Adventure",tt0478970,Marvel Studios,United States of America,117,Heroes don't get any bigger.,English,57225526.0,180202163.0,26684321.0,95523011.0,19306487.0,75284930.0,14420347.0,46514328.0,180202163.0,339109802.0,519311965.0
