adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,genres,imdb_id,production_companies,production_countries,revenue,runtime,status,tagline,spoken_languages,domestic_opening,domestic_gross,asia_pacific_opening,asia_pacific_gross,europe_middle_east_and_africa_opening,europe_middle_east_and_africa_gross,latin_america_opening,latin_america_gross,china_opening,china_gross,domestic,international,worldwide,by_release_opening,by_release_gross,by_region_opening,by_region_gross
False,/8HbqSozBJxv6UldR9lMUECUlbLI.jpg,"[878, 12, 28]",430155,ru,Кома,"A young and talented architect comes to his senses after a horrific accident only to find himself in the odd dystopian world. A world that is filled with the memories of all current coma patients. Just like a human memory this world is fragmental, chaotic and unstable. This is COMA: icecaps, rivers and cities can all exist in a space of a single room and laws of physics are no longer laws as they can be bent.",27.494,/ijJm0RSeKIr67qkHLtSmtigS6ra.jpg,2020-01-01,Coma,False,6.4,536,2250000,"Science Fiction, Adventure, Action",tt6087226,"Fresh Film, Cinema Foundation of Russia, Mars Media Entertainment, Big Cinema House, Argunov Studio, Central Partnership",Russia,9500000,110,Released,Wake up to save everyone,Pусский,,,1331467.0,2194393.0,47988.0,81317.0,,,,,0.0,2275710.0,2275710.0,,,,
False,/zyTMkqr0yq807N1Ac1sSCYOp5Go.jpg,[10749],501190,en,"God, Sex and Truth","'God, Sex and Truth' delves into the world of sex where it digs out and projects the deepest dignity, divinity of the act and a women's true purpose of her sexuality.",27.492,/vaqtTC12oX94ChZUljXRz4fw2ch.jpg,2018-01-27,"God, Sex and Truth",False,6.5,24,0,Romance,tt7908740,,,0,19,Released,,English,,,,,,,,,,,0.0,0.0,0.0,,,,
False,/bAH55r2PrMKZ3TeCm6W2OqAZd2T.jpg,"[28, 27, 878]",988591,en,Mega Lightning,"After a violent thunderstorm scares a house party, the guests flee to a nearby home for shelter.. only to discover, a more sinister hand is at play.. Now, they can't escape the strangers home due to the thunderstorm, but they can't stay inside due to the danger that follows them.",27.486,/eD2lTDAkD9ehTJtypX24jTnt0hQ.jpg,2022-12-05,Mega Lightning,False,4.4,17,0,"Action, Horror, Science Fiction",tt19119598,Jagged Edge Productions,United Kingdom,0,90,Released,,English,,,,,,,,,,,0.0,0.0,0.0,,,,
False,/aJKcFHxZp0oFJwQ1wHqjyqNpqXY.jpg,"[27, 53]",7978,en,The Wolfman,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",27.485,/fQqPoAHvHicie1ttuiV2q0yv9V7.jpg,2010-02-10,The Wolfman,False,5.9,1972,150000000,"Horror, Thriller",tt0780653,"Universal Pictures, Relativity Media, Stuber Pictures",United States of America,140700000,103,Released,"When the moon is full, the legend comes to life.","English, Română",31479235.0,61979680.0,5613284.0,17419314.0,16514545.0,37614138.0,5711870.0,20740179.0,,,61979680.0,77810085.0,139789765.0,,,,
False,/fX8e94MEWSuTJExndVYxKsmA4Hw.jpg,"[35, 53, 28, 12]",604822,zh,急先锋,Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,38.465,/mKvw1Ic9enfFlCPBNJGiejRPMUO.jpg,2020-09-30,Vanguard,False,6.3,539,0,"Comedy, Thriller, Action, Adventure",tt9695722,"China Film (Shanghai) International Media Co., China Film Group Corporation, Epitome Capital, Shanghai Lix Entertainment, Shenzhen Media Film & Television, Tencent Pictures, One Cool Pictures, India Film Services, Huayu International Entertainment, JP Media Limited, Dexter Studios, Golden Network Asia","China, Hong Kong, India, South Korea, Taiwan, United Kingdom",50866901,107,Released,,"普通话, हिन्दी, English",380428.0,793525.0,348747.0,2265951.0,566137.0,3835974.0,34423.0,51936.0,0.0,43919515.0,793525.0,50073376.0,50866901.0,,,,
False,/4TOIMcSs7qg67zaO9IHSqushUb5.jpg,[35],263132,cn,3D 豪情,"An honors graduate in literature, Wyman is stuck writing cheap erotic fiction, but somehow ends up starring in an AV film. Suddenly a porn superstar in Japan, he discovers a whole new world fraught with pleasure, pain and more twists and turns than he or the audience expects.",38.461,/Xop6uAHwKuDCN3Wra4IBicDUuT.jpg,2014-03-25,Naked Ambition 3D,False,5.2,40,0,Comedy,tt3740242,"One Cool Pictures, 852 Films",Hong Kong,0,107,Released,,"日本語, 广州话 / 廣州話",,,935890.0,2375047.0,,,,,,,0.0,2375047.0,2375047.0,,,,
False,/oFS0DgInCdvYRwaPkl3BLpmIuq5.jpg,"[28, 80, 18, 9648, 878, 53]",1013240,id,24 Jam Bersama Gaspar,"With only 24 hours left to live, a private investigator follows a trail of confounding clues to uncover the disappearance of his childhood friend.",22.697,/8jJKM0ZR3GQo6E3CUkMKKVa4S8B.jpg,2023-10-06,24 Hours with Gaspar,False,6.7,76,0,"Action, Crime, Drama, Mystery, Science Fiction, Thriller",tt14773940,"Visinema Pictures, KawanKawan Media, Legacy Pictures",Indonesia,0,98,Released,,Bahasa indonesia,,,,,,,,,,,0.0,0.0,0.0,,,,
False,/2kfkOigqC6B3P7UVB332EC0Eyz3.jpg,"[12, 35, 18]",371645,en,Hunt for the Wilderpeople,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",22.625,/hkmz9rxgcweizXNElozGeKwmAJE.jpg,2016-03-31,Hunt for the Wilderpeople,False,7.661,2042,2500000,"Adventure, Comedy, Drama",tt4698684,"Defender Films, Piki Films, Curious Films","New Zealand, United Kingdom",23900000,101,Released,Nature just got gangster.,English,,,,,,,,,,,5205468.0,33354840.0,38560308.0,0.0,5205468.0,38560308.0,15272.0
False,/9AbL76J8pCKNhyNzdEg8e2SQ4LJ.jpg,"[27, 53]",1272890,en,Lowlifes,The survival instincts of a road-tripping family are put to the test when they have no other choice but to stay the night at a remote homestead.,38.451,/5Bx5tG66PhX2Lb6nrZGDjNZJO5u.jpg,2024-04-11,Lowlifes,False,6.5,50,0,"Horror, Thriller",tt31499750,Front Street Pictures,Canada,0,90,Released,,English,,,,,,,,,,,0.0,0.0,0.0,,,,
False,/u3vvGZsx9ynHinD1bQ7g0f5mcay.jpg,"[18, 53]",1316851,en,Blades of Grass,"Five stories, set within the confines of a hotel room, are loosely connected by the vestiges of the room's past tenants.",27.35,/9yCKXp8S79QNnQ58wpRi3qVtrcK.jpg,2024-11-19,Blades of Grass,False,0.0,0,0,"Drama, Thriller",,Banks Brother's Productions,United States of America,0,92,Released,Tell me what you've learned.,,,,,,,,,,,,,,,,,,
