popularity,title,vote_average,vote_count,budget,imdb_id,runtime,years_from_release,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,domestic,international,worldwide
56.035,Creed II,7.034,5388,50000000,tt6343314,130,6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,115715889.0,98500000.0,214215889.0
56.032,The Cabin in the Woods,6.6,7810,30000000,tt1259521,95,12,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,42073277.0,27965561.0,70038838.0
56.02,Argylle,6.096,1301,200000000,tt15009428,139,0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45207275.0,51013786.0,96221061.0
70.914,Violent Night,7.3,2096,20000000,tt12003946,111,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50057405.0,25947000.0,76004405.0
52.886,Rambo: First Blood Part II,6.6,3878,44000000,tt0089880,96,39,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,150415432.0,149985000.0,300400432.0
78.159,Get Out,7.619,17360,4500000,tt5052448,104,7,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,176196665.0,79548492.0,255751443.0
51.14,Redeeming Love,7.864,528,30000000,tt11365186,134,2,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,9214020.0,250178.0,9464198.0
42.114,The Predator,5.6,4630,88000000,tt3829266,107,6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,51024708.0,109517426.0,160542134.0
50.36,Overlord,6.719,2837,38000000,tt4530422,110,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,21704844.0,19953000.0,41657844.0
52.088,Seven Samurai,8.462,3668,2000000,tt0047478,207,70,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,811696.0,248424.0,1060273.0
47.585,First Blood,7.5,6212,15000000,tt0083944,93,42,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,47212904.0,78000000.0,125212904.0
42.827,Bad Boys,6.8,6327,19000000,tt0112442,119,29,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,65807024.0,75600000.0,141407024.0
77.685,The Legend of Tarzan,5.9,6182,180000000,tt0918940,109,8,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,126643061.0,230600000.0,357243061.0
77.68,Night at the Museum,6.584,10151,110000000,tt0477347,108,18,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,250863268.0,323617961.0,574482479.0
55.313,Braveheart,7.9,10076,72000000,tt0112573,177,29,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,75609945.0,137606271.0,213216216.0
55.377,Project X,6.882,6334,12000000,tt1636826,88,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,54731865.0,48000000.0,102731865.0
55.357,Once Upon a Time... in Hollywood,7.4,13383,95000000,tt7131622,162,5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,142502728.0,249602348.0,392105159.0
55.34,Bullet Train,7.449,6169,90000000,tt12593682,126,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,103368602.0,135900000.0,239268602.0
55.202,Brokeback Mountain,7.798,6928,14000000,tt0388795,134,19,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,83043761.0,95019405.0,178064141.0
55.187,Ghost Rider,5.6,5887,110000000,tt0259324,114,17,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,115802596.0,112935797.0,228738393.0
55.156,Rampage,6.5,7014,120000000,tt2231461,107,6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,101028233.0,327100000.0,428128399.0
55.138,Ponyo,7.7,4276,34000000,tt0876563,100,16,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,16543471.0,189322717.0,205913329.0
55.054,Out of Season,6.8,37,6000000,tt27704325,116,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,660839.0,660839.0
55.023,After.Life,6.3,1109,4500000,tt0838247,104,15,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,108595.0,2316940.0,2425535.0
55.008,Mission: Impossible - Ghost Protocol,7.091,9815,145000000,tt1229238,133,13,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,209397903.0,485315477.0,694713380.0
51.003,Alvin and the Chipmunks: The Squeakquel,5.63,2884,75000000,tt1231580,88,15,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,219614612.0,223525393.0,443140005.0
45.749,The Witch,6.968,6902,3500000,tt4263482,92,8,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,25138705.0,15285240.0,40423945.0
52.242,The Crow,7.534,4049,23000000,tt0109506,102,30,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,50693129.0,147223.0,50840352.0
49.736,Superbad,7.3,7254,20000000,tt0829482,113,17,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,121463226.0,49349300.0,170812574.0
50.736,Ice Age: Collision Course,6.1,4518,105000000,tt3416828,95,8,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,64063008.0,344691967.0,408754975.0
46.298,300,7.2,13621,65000000,tt0416449,116,17,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,210629101.0,245453242.0,456082343.0
