id,original_title,popularity,release_date,title,vote_average,vote_count,budget,imdb_id,production_companies,production_countries,runtime,domestic_opening,asia_pacific_opening,europe_middle_east_and_africa_opening,domestic,international,worldwide,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western
32657,Percy Jackson & the Olympians: The Lightning Thief,64.501,2010-02-01,Percy Jackson & the Olympians: The Lightning Thief,6.2,7415,95000000,tt0814255,"1492 Pictures, Sunswept Entertainment, Dune Entertainment",United States of America,118,31236067.0,14806563.0,16374207.0,88768303.0,137728906.0,226497209.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
172385,Rio 2,64.322,2014-03-19,Rio 2,6.5,3458,103000000,tt2357291,"Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",United States of America,101,39327869.0,19353933.0,25316056.0,131538435.0,367242682.0,498781117.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1125311,Imaginary,64.222,2024-03-06,Imaginary,6.1,492,13000000,tt26658104,"Blumhouse Productions, Tower of Babble Entertainment, Lionsgate",United States of America,104,9912713.0,455077.0,3090061.0,28009161.0,15777873.0,43787034.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
281338,War for the Planet of the Apes,64.182,2017-07-11,War for the Planet of the Apes,7.206,8955,150000000,tt3450958,"20th Century Fox, TSG Entertainment, Chernin Entertainment",United States of America,140,56262929.0,34410715.0,31109503.0,146880162.0,343839601.0,490719763.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
785084,The Whale,64.165,2022-12-09,The Whale,7.842,3824,3000000,tt13833688,"A24, Protozoa Pictures",United States of America,117,332152.0,605156.0,3489888.0,17463630.0,39563064.0,57615635.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
196867,Annie,64.147,2014-12-18,Annie,6.228,1269,65000000,tt1823664,"Marcy Media, Columbia Pictures, Olive Bridge Entertainment, Overbrook Entertainment",United States of America,118,15861939.0,3421254.0,7892664.0,85911262.0,50942244.0,136853506.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10591,The Girl Next Door,63.999,2004-04-09,The Girl Next Door,6.7,3482,21000000,tt0265208,"Epsilon Motion Pictures, Regency Enterprises, New Regency Pictures, Daybreak, 20th Century Fox","Switzerland, United States of America",110,6003806.0,195423.0,1653130.0,14589444.0,15792278.0,30381722.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
420809,Maleficent: Mistress of Evil,63.828,2019-10-16,Maleficent: Mistress of Evil,7.306,6076,185000000,tt4777008,"Walt Disney Pictures, Roth Films",United States of America,119,36948713.0,40831240.0,28527004.0,113929605.0,377800484.0,491730089.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
449443,Den of Thieves,55.06,2018-01-18,Den of Thieves,6.811,2833,30000000,tt1259528,"Atmosphere Entertainment MM, Diamond Film Productions, G-BASE, Tucker Tooley Entertainment, STXfilms",United States of America,140,15206108.0,1881573.0,7638675.0,44947622.0,35562000.0,80509622.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9880,The Princess Diaries,55.237,2001-08-03,The Princess Diaries,7.0,4907,37000000,tt0247638,"Bottom of the Ninth Productions, Walt Disney Pictures, BrownHouse Productions",United States of America,115,22862269.0,694978.0,867877.0,108248956.0,57086197.0,165335153.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1402,The Pursuit of Happyness,63.013,2006-12-14,The Pursuit of Happyness,7.9,9800,55000000,tt0454921,"Escape Artists, Relativity Media, Columbia Pictures, Overbrook Entertainment",United States of America,117,26541709.0,6123400.0,16732741.0,163566459.0,143561166.0,307127625.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
198184,Chappie,62.984,2015-03-04,Chappie,6.788,7858,49000000,tt1823672,"Columbia Pictures, MRC, LStar Capital, Genre Films",United States of America,120,13346782.0,11225015.0,7864967.0,31569268.0,71242621.0,102811889.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
546554,Knives Out,62.958,2019-11-27,Knives Out,7.846,12328,40000000,tt8946378,"Lionsgate, MRC, T-Street",United States of America,131,26769548.0,7953734.0,15546239.0,165363234.0,147534686.0,312897920.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
756999,The Black Phone,62.765,2022-06-22,The Black Phone,7.598,4889,16000000,tt7144666,"Blumhouse Productions, Crooked Highway",United States of America,103,23633220.0,2594955.0,6934779.0,90123230.0,71317512.0,161440742.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
762430,Retribution,62.664,2023-08-23,Retribution,6.651,1139,20000000,tt6906292,"The Picture Company, Ombra Films, StudioCanal, TF1 Films Production, Studio Babelsberg","France, Germany, United States of America",91,3518830.0,493509.0,2852225.0,6937696.0,11748055.0,18685751.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1040148,"Ruby Gillman, Teenage Kraken",62.597,2023-06-28,"Ruby Gillman, Teenage Kraken",7.3,965,70000000,tt27155038,DreamWorks Animation,United States of America,91,5500990.0,1175811.0,4474801.0,15753600.0,29904145.0,45657745.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
739405,Operation Fortune: Ruse de Guerre,62.551,2023-01-04,Operation Fortune: Ruse de Guerre,6.5,1509,50000000,tt7985704,"Miramax, STXfilms, Toff Guy Films, AZ Celtic Films","Turkey, United Kingdom, United States of America",113,3140214.0,2044438.0,3287471.0,6496125.0,42487181.0,48983306.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
258509,Alvin and the Chipmunks: The Road Chip,62.493,2015-12-17,Alvin and the Chipmunks: The Road Chip,6.0,1619,90000000,tt2974918,"TSG Entertainment, Fox 2000 Pictures, Regency Enterprises, Bagdasarian Productions, Sunswept Entertainment",United States of America,92,14287159.0,5424685.0,19862493.0,85886987.0,148911649.0,234798636.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76338,Thor: The Dark World,62.462,2013-10-30,Thor: The Dark World,6.522,17204,170000000,tt1981115,Marvel Studios,United States of America,112,85737841.0,40481807.0,54190131.0,206362140.0,438421000.0,644783140.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27578,The Expendables,62.397,2010-08-03,The Expendables,6.2,7694,80000000,tt1320253,"Nimar Studios, Rogue Marble, Millennium Media, Nu Image, Lionsgate, Thunder Road","Bulgaria, United States of America",103,34825135.0,9667534.0,23916835.0,103068524.0,171401870.0,274470394.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
345887,The Equalizer 2,62.117,2018-07-19,The Equalizer 2,6.756,5312,62000000,tt3766354,"Lonetree Entertainment, Fuqua Films, Escape Artists, Sony Pictures, ZHIV Productions, Mace Neufeld Productions, Columbia Pictures",United States of America,121,36011640.0,9238465.0,14577322.0,102084362.0,88315795.0,190400157.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
524434,Eternals,86.785,2021-11-03,Eternals,6.9,8241,200000000,tt9032400,Marvel Studios,United States of America,156,71297219.0,44020880.0,31555660.0,164870234.0,237194665.0,402064899.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
884605,No Hard Feelings,55.332,2023-06-15,No Hard Feelings,6.782,2978,45000000,tt15671028,"Excellent Cadaver, Odenkirk Provissiero Entertainment, Columbia Pictures, Saks Picture Company",United States of America,104,15002770.0,505952.0,4378097.0,50452282.0,36804125.0,87256407.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
602223,The Forever Purge,86.75,2021-06-30,The Forever Purge,6.9,2488,18000000,tt10327252,"Blumhouse Productions, Platinum Dunes, Universal Pictures, Perfect World Pictures, Man in a Tree","China, United States of America",103,12551220.0,795145.0,5854340.0,44539245.0,32455000.0,76994245.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
140300,Kung Fu Panda 3,58.991,2016-01-23,Kung Fu Panda 3,6.914,5995,145000000,tt2267968,"DreamWorks Animation, China Film Group Corporation, Oriental DreamWorks, Zhong Ming You Ying Film","China, United States of America",95,41282042.0,21003068.0,23267784.0,143528619.0,377642206.0,521170825.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57800,Ice Age: Continental Drift,62.483,2012-06-27,Ice Age: Continental Drift,6.4,7530,95000000,tt1667889,"Blue Sky Studios, 20th Century Fox Animation, 20th Century Fox",United States of America,88,46629259.0,31522186.0,62927752.0,161321843.0,715922939.0,877244782.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
333371,10 Cloverfield Lane,85.985,2016-03-10,10 Cloverfield Lane,6.994,7870,15000000,tt1179933,Bad Robot,United States of America,104,24727437.0,4545830.0,4913276.0,72082998.0,38134000.0,110216998.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
779816,White Bird,43.207,2023-10-25,White Bird,8.0,74,20000000,tt11068094,"Participant, Mandeville Films, 2DUX², Kingdom Story Company, Lionsgate, Media Capital Technologies",United States of America,121,1557893.0,70773.0,844395.0,5069171.0,3453635.0,8522806.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1562,28 Weeks Later,85.511,2007-04-26,28 Weeks Later,6.605,4254,15000000,tt0463854,"DNA Films, Figment Films, Sociedad General de Cine S.A., UK Film Council, Fox Atomic, Koan","Spain, United Kingdom, United States of America",100,9807292.0,2580258.0,7724456.0,28638916.0,36409762.0,65048725.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
132232,Mama,44.399,2013-01-17,Mama,6.271,4112,15000000,tt2023587,"Universal Pictures, Toma 78, De Milo","Canada, Spain",100,28402310.0,3922456.0,12023406.0,71628180.0,74800000.0,146428180.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
521029,Annabelle Comes Home,73.645,2019-06-26,Annabelle Comes Home,6.409,3498,27000000,tt8350360,"Atomic Monster, The Safran Company, New Line Cinema",United States of America,106,20269723.0,8725817.0,12603610.0,74152591.0,157100000.0,231252591.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
799379,늑대사냥,55.143,2022-09-21,Project Wolf Hunting,6.387,350,9000000,tt15575470,"The Contents On, Contents G, Cheum Film, Finecut",South Korea,122,20541.0,1742410.0,4045.0,20541.0,3843139.0,3863680.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
